time,Vref,Vt,Vfd,Id,Iq,Vd,Vq,P,Q,Pm,omega,delta
1.75,1.06,1.0097097256911787,1.5453420574562755,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.76,1.06,1.009909450074607,1.5460361391190895,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.77,1.06,1.0101095381184746,1.5466825943224278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.78,1.06,1.0103099650127636,1.5472831168176187,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.79,1.06,1.0105107068795365,1.5478393279947145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.8,1.06,1.010711740733443,1.54835278006977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.81,1.06,1.0109130444438832,1.54882495913125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.82,1.06,1.0111145966987656,1.5492572880518367,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.83,1.06,1.0113163769697964,1.5496511292716257,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.84,1.06,1.0115183654792432,1.550007787458426,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.85,1.06,1.0117205431681133,1.5503285120506212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.86,1.06,1.0119228916656908,1.5506144996878024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.87,1.06,1.012125393260379,1.5508668965341494,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.8800000000000001,1.06,1.0123280308717935,1.5510868004993108,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.8900000000000001,1.06,1.0125307880240553,1.551275263361323,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.9000000000000001,1.06,1.0127336488202363,1.5514332927959043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.9100000000000001,1.06,1.0129365979179072,1.5515618543162644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.92,1.06,1.0131396205057432,1.5516618731273852,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.93,1.06,1.0133427022811419,1.5517342358985564,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.94,1.06,1.013545829428813,1.5517797924577728,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.95,1.06,1.0137489886002975,1.5517993574114493,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.96,1.06,1.0139521668943752,1.551793711692746,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.97,1.06,1.014155351838327,1.5517636040416587,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.98,1.06,1.0143585313700114,1.5517097524198844,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.99,1.06,1.0145616938207227,1.551632845363337,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0,1.06,1.0147648278987955,1.5515335432750674,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0100000000000002,1.06,1.0149679226739268,1.5514124796612139,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.02,1.06,1.0151709675621794,1.551270262312495,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.0300000000000002,1.06,1.0153739523116432,1.5511074744336442,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.04,1.06,1.0155768669887213,1.5509246757230857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.05,1.06,1.0157797019650157,1.5507224034050386,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.06,1.06,1.015982447904787,1.550501173216149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.07,1.06,1.0161850957529617,1.5502614803486536,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.08,1.06,1.0163876367236653,1.5500038003519885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.09,1.06,1.016590062289256,1.5497285899946767,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.1,1.06,1.0167923641698389,1.5494362880882393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.11,1.06,1.0169945343232387,1.5491273162748085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.12,1.06,1.0171965649354122,1.548802079780038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.13,1.06,1.0173984484112792,1.5484609681328383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.14,1.06,1.0176001773659562,1.5481043558534024,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.15,1.06,1.017801744616372,1.547732603110913,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.16,1.06,1.0180031431732528,1.5473460563522696,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.17,1.06,1.0182043662334557,1.5469450489031111,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.18,1.06,1.0184054071726396,1.5465299015423528,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.19,1.06,1.0186062595382557,1.5461009230514051,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.2,1.06,1.0188069170428453,1.5456584107391882,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.21,1.06,1.0190073735576306,1.5452026509440082,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.22,1.06,1.0192076231063865,1.5447339195133145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.23,1.06,1.019407659859579,1.5442524822623105,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.24,1.06,1.019607478128762,1.5437585954123503,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.25,1.06,1.0198070723612176,1.5432525060100115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.2600000000000002,1.06,1.0200064371348305,1.542734452327692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.27,1.06,1.0202055671531882,1.5422046642465486,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.2800000000000002,1.06,1.0204044572408926,1.541663363622551,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.29,1.06,1.020603102339079,1.5411107646363975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.3000000000000003,1.06,1.0208014975011286,1.5405470741279996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.31,1.06,1.02099963788857,1.5399724919162192,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.32,1.06,1.0211975187671574,1.5393872111045028,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.33,1.06,1.0213951355031217,1.538791418373038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.34,1.06,1.0215924835595842,1.538185294258023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.35,1.06,1.0217895584931265,1.537569013418617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.36,1.06,1.0219863559505098,1.5369427448921142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
